Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
#2-2-29,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.96,1.962,1.498,0.718,0.535,,*2nd PRIORITY,yes,81,4,291,3,,,,,,,,,,,,,,,,,,,,,,,
31,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,0.533,1.551,1.115,0.386,0.389,,*2nd PRIORITY,yes,49,0,42,2,,,,,,,,,,,,,,,,,,,,,,,
32,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,yes,,*1st PRIORITY,yes,1.134,2.831,2.014,0.725,0.584,,*2nd PRIORITY,yes,101,9,625,6,,,,,,,,,,,,,,,,,,,,,,,
29,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.04,1.06,1.42,0.69,0.72,took picture of only the flower,*3rd PRIORITY count Carlie's slides,Carlie,73,0,312,5,,10,1,6,2,,,18.92,9.44,2,26.5,8,0.768116,1,43,10,2,10,6,,,,
33,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.24,1.51,2.08,0.86,0.74,,*3rd PRIORITY count Carlie's slides,Carlie,22,2,150,4,,25,0,368,6,,,25.4,13.57,2,22.5,157.5,0.125,1,21,95,2,24,220,,,,
35,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3710,"12,175",high alpine,,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.34,1.39,1.91,0.68,0.78,,*3rd PRIORITY count Carlie's slides,Carlie,27,0,145,4,,6,1,57,3,,,26.38,13.48,2,16.5,60.5,0.214286,1,27,95,2,6,26,,,,
#2-1-39,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,yes,,*1st PRIORITY,yes,0.936,2.224,1.521,0.734,0.549,,*2nd PRIORITY,yes,66,20,256,5,,,,,,,,,,,,,,,,,,,,,,,
36,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,no,,*1st PRIORITY,yes,1.316,2.764,1.894,0.868,0.725,"there were only two flowers left from the plant, it has mostly fallen apart",*2nd PRIORITY,no,NA,NA,NA,NA,no flowers - seeds counted,,,,,,,,,,,,,,,,,,,,,,
37,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,yes,,*1st PRIORITY,yes,0.781,2.272,1.688,0.67,0.604,,*2nd PRIORITY,yes,166,2304,267,2,,,,,,,,,,,,,,,,,,,,,,,
44,1985,past,Polemonium viscosum,Skunky,6/25/85,Cumberland Pass,Colorado,3620,"11,875",krummholz,,Candace Galen,no,,*1st PRIORITY,yes,0.84,1.32,1.84,0.73,0.53,flowers detached from stem,*2nd PRIORITY,no,1,156,1,1,,,,,,,,,,,,,,,,,,,,,,,
